slug,category
audi,Германия
autohomecar,Китай
avatr,Китай
baic,Китай
black_car,Прочее
bmw,Германия
buick,Америка
byd,Китай
cadillac,Америка
changan,Китай
chery,Китай
chevrolet,Америка
citroen,Франция
close,Прочее
denza,Китай
dongfeng,Китай
exeed,Китай
faw,Китай
ford,Америка
forthing,Китай
gac,Китай
geely,Китай
gw,Китай
haval,Китай
hiphi,Китай
honda,Япония
hongqi,Китай
huawei,Китай
hyundai,Корея
infiniti,Япония
jaguar,Англия
jetour,Китай
jetta,Германия
jishi,Китай
kia,Корея
landrover,Англия
leamotor,Китай
lexus,Япония
lincoln,Америка
lixiang,Китай
,Прочее
lotus,Англия
lynk,Китай
mazda,Япония
mercedes,Германия
mg,Китай
mini,Англия
mitsubishi,Япония
neta,Китай
nio,Китай
nissan,Япония
peugeot,Франция
placeholder,Прочее
pngimg.com,Прочее
polestar,Швеция
service,Прочее
skoda,Чехия
smart,Германия
tank,Китай
tesla,Америка
toyota,Япония
venucia,Китай
volkswagen,Германия
volvo,Швеция
voyah,Китай
wuling,Китай
xiaomi,Китай
xpeno,Китай
zeekr,Китай
